Classification Report for mlp:
              precision    recall  f1-score   support

    Fake (0)       1.00      0.98      0.99        54
    Real (1)       0.95      1.00      0.97        18

    accuracy                           0.99        72
   macro avg       0.97      0.99      0.98        72
weighted avg       0.99      0.99      0.99        72


--- Dictionary Format ---

Fake (0):
  precision: 1.0
  recall: 0.9814814814814815
  f1-score: 0.9906542056074766
  support: 54.0

Real (1):
  precision: 0.9473684210526315
  recall: 1.0
  f1-score: 0.972972972972973
  support: 18.0

accuracy:
  value: 0.9861111111111112

macro avg:
  precision: 0.9736842105263157
  recall: 0.9907407407407407
  f1-score: 0.9818135892902249
  support: 72.0

weighted avg:
  precision: 0.986842105263158
  recall: 0.9861111111111112
  f1-score: 0.9862338974488508
  support: 72.0
